   M    BELSURF     ASURFEL        VOLSEL
 133   122.80400    0.3753E+07    0.6472E+07
 134   122.82500    0.3781E+07    0.6551E+07
 135   122.82900    0.3829E+07    0.6566E+07
 136   122.83000    0.3868E+07    0.6570E+07
 137   122.83100    0.3924E+07    0.6574E+07
 138   122.83200    0.3965E+07    0.6578E+07
 139   122.83800    0.4025E+07    0.6602E+07
 140   122.83800    0.4085E+07    0.6602E+07
 141   122.83800    0.4115E+07    0.6602E+07
 142   122.83900    0.4172E+07    0.6606E+07
 143   122.84100    0.4225E+07    0.6615E+07
 144   122.85600    0.4237E+07    0.6678E+07
 145   122.86000    0.4253E+07    0.6695E+07
 146   122.87000    0.4287E+07    0.6738E+07
 147   122.90600    0.4332E+07    0.6893E+07
 148   122.94000    0.4361E+07    0.7041E+07
 149   123.00900    0.4388E+07    0.7342E+07
 150   123.07900    0.4405E+07    0.7650E+07
 151   123.10800    0.4443E+07    0.7778E+07
 152   123.11200    0.4450E+07    0.7796E+07
 153   123.11600    0.4497E+07    0.7814E+07
 154   123.11900    0.4523E+07    0.7828E+07
 155   123.13900    0.4556E+07    0.7918E+07
 156   123.15200    0.4569E+07    0.7978E+07
 157   123.20000    0.4601E+07    0.8198E+07
 158   123.23500    0.4637E+07    0.8360E+07
 159   123.23800    0.4692E+07    0.8373E+07
 160   123.24900    0.4728E+07    0.8425E+07
 161   123.27700    0.4749E+07    0.8558E+07
 162   123.28300    0.4765E+07    0.8587E+07
 163   123.29800    0.4820E+07    0.8658E+07
 164   123.30700    0.4834E+07    0.8702E+07
 165   123.31000    0.4850E+07    0.8716E+07
 166   123.34700    0.4884E+07    0.8896E+07
 167   123.34800    0.4901E+07    0.8901E+07
 168   123.36400    0.4926E+07    0.8980E+07
 169   123.37800    0.4955E+07    0.9049E+07
 170   123.42800    0.4966E+07    0.9297E+07
 171   123.43000    0.5021E+07    0.9307E+07
 172   123.43400    0.5043E+07    0.9327E+07
 173   123.45100    0.5096E+07    0.9413E+07
 174   123.45700    0.5102E+07    0.9444E+07
 175   123.45900    0.5133E+07    0.9454E+07
 176   123.55800    0.5178E+07    0.9965E+07
 177   123.59200    0.5200E+07    0.1014E+08
 178   123.59900    0.5218E+07    0.1018E+08
 179   123.60400    0.5242E+07    0.1020E+08
 180   123.60700    0.5252E+07    0.1022E+08
 181   123.65500    0.5285E+07    0.1047E+08
